outcode,pct_private_rented,pct_students,pct_employed
KT17,20.8,21.6,62.2
KT18,11.2,23.8,62.1
KT19,13.9,17.6,61.0
KT2,35.9,24.6,64.7
KT20,11.0,17.5,58.2
KT21,9.2,20.7,57.1
KT22,7.2,18.2,58.4
KT23,10.9,18.2,53.9
KT24,8.9,21.4,56.5
KT3,19.6,23.9,52.7
KT4,20.8,21.8,68.7
KT5,28.0,23.0,64.8
KT6,40.3,17.0,67.5
KT7,11.1,24.8,65.4
KT8,17.6,19.4,61.8
KT9,16.5,21.0,65.5
L1,39.1,43.3,38.5
L10,10.3,16.6,60.7
L11,10.4,24.2,51.4
L12,15.0,18.5,58.8
L13,11.3,19.4,54.7
L14,10.4,17.1,63.1
L15,31.5,37.2,50.1
L16,8.0,18.5,61.3
L17,32.4,20.4,54.4
L18,32.4,20.4,54.4
L19,18.4,19.4,57.9
L2,72.2,31.0,58.0
L20,26.7,16.4,50.1
L21,14.8,19.7,59.5
L22,28.2,17.5,63.9
L23,14.7,16.4,54.4
L24,14.9,23.0,54.6
L25,15.6,13.8,52.5
L26,11.0,16.4,60.8
L27,11.8,20.9,51.2
L28,11.2,20.8,55.0
L29,8.7,16.0,55.6
L3,72.2,31.0,58.0
L30,11.5,19.2,57.0
L31,11.2,15.2,54.5
L32,21.7,19.5,56.9
L33,17.2,24.9,55.5
L34,16.7,18.0,63.5
L35,8.4,15.4,51.4
L36,12.6,19.4,59.1
L37,7.2,17.5,50.4
L38,8.7,16.0,55.6
L39,25.9,47.9,32.2
L4,41.4,20.4,52.6
L40,14.4,18.6,59.5
L5,22.0,23.8,44.8
L6,48.1,21.7,55.0
L7,40.9,30.5,49.6
L8,28.5,34.9,42.7
L9,26.4,18.3,60.9
LA1,15.0,21.7,59.0
LA10,19.5,21.0,51.8
LA11,14.9,10.6,47.7
LA12,9.7,13.1,53.5
LA13,7.2,13.4,51.6
LA14,38.2,17.5,53.7
LA15,14.5,15.1,58.1
LA16,13.8,15.1,61.8
LA17,16.2,13.3,56.8
LA18,14.1,14.3,53.6
LA2,15.8,15.6,54.7
LA20,16.2,13.3,56.8
LA21,16.2,13.3,56.8
LA22,24.7,14.9,54.1
LA23,21.3,14.6,58.7
LA3,48.6,19.4,56.3
LA4,12.7,18.1,56.1
LA5,8.4,14.4,52.5
LA6,15.8,15.6,54.7
LA7,11.8,15.5,50.7
LA8,17.4,15.4,61.1
LA9,13.5,14.3,54.6
LD1,26.8,15.4,49.5
LD2,19.2,15.0,56.3
LD3,19.1,14.7,56.8
LD4,19.2,15.0,56.3
LD5,19.2,15.0,56.3
LD6,17.5,14.3,51.5
LD7,17.3,13.8,54.1
LD8,17.3,13.8,54.1
LE1,73.0,58.5,33.2
LE10,11.0,16.9,61.9
LE11,24.6,64.4,23.5
LE12,15.8,16.1,59.6
LE13,20.0,15.5,59.3
LE14,13.1,16.7,61.4
LE15,24.7,13.9,54.7
LE16,19.9,18.1,61.5
LE17,14.5,19.0,60.4
LE18,15.1,19.7,56.4
LE19,12.8,18.3,64.6
LE2,17.4,20.9,53.0
LE3,11.3,17.3,58.7
LE4,14.8,23.5,62.4
LE5,12.7,22.4,54.6
LE6,11.0,17.7,61.9
LE65,16.3,19.1,63.6
LE67,11.4,17.9,63.8
LE7,9.8,17.7,62.0
LE8,9.8,18.3,60.3
LE9,16.9,16.9,60.6
LL11,10.0,20.2,55.6
LL12,11.4,17.8,54.6
LL13,35.4,19.6,62.0
LL14,18.3,20.6,55.6
LL15,18.6,19.4,55.0
LL16,17.0,18.4,56.8
LL17,16.2,15.0,52.5
LL18,17.0,18.4,56.8
LL19,22.8,16.0,48.2
LL20,12.8,17.5,57.6
LL21,16.4,18.6,59.3
LL22,14.9,20.5,55.5
LL23,18.7,17.0,59.7
LL24,17.7,16.4,58.4
LL26,17.7,16.4,58.4
LL27,17.7,16.4,58.4
LL28,18.3,18.2,58.5
LL29,36.1,18.6,52.7
LL30,12.6,15.4,52.3
LL31,12.6,15.4,52.3
LL32,16.4,16.6,53.1
LL33,17.0,17.0,54.0
LL34,17.0,17.0,54.0
LL35,18.3,13.0,46.7
LL36,18.3,13.0,46.7
LL37,18.3,13.0,46.7
LL38,18.3,13.0,46.7
LL39,18.3,13.0,46.7
LL40,19.4,16.1,53.7
LL41,15.1,18.6,56.1
LL42,19.4,16.1,53.7
LL43,13.8,14.5,49.5
LL44,13.8,14.5,49.5
LL45,13.8,14.5,49.5
LL46,13.8,14.5,49.5
LL47,13.8,14.5,49.5
LL48,15.6,15.8,52.0
LL49,15.6,15.8,52.0
LL51,15.6,15.8,52.0
LL52,15.6,16.0,53.9
LL53,19.2,17.2,55.7
LL54,11.8,19.0,56.6
LL55,13.8,18.2,58.5
LL56,15.2,19.3,61.0
LL57,43.6,60.7,25.3
LL58,14.3,14.8,48.1
LL59,15.3,17.2,52.1
LL60,14.9,17.3,55.8
LL61,15.3,17.2,52.1
LL62,14.9,17.3,55.8
LL63,21.2,18.2,57.2
LL64,21.2,18.2,57.2
LL65,11.4,16.0,50.2
LL66,14.3,13.9,48.7
LL67,15.3,16.5,50.5
LL68,15.3,16.5,50.5
LL69,14.3,13.9,48.7
LL71,15.3,16.5,50.5
LL72,14.3,13.9,48.7
LL74,14.3,14.8,48.1
LL75,14.3,14.8,48.1
LL77,12.3,21.1,57.0
LL78,14.3,13.9,48.7
LN1,17.8,15.0,58.1
LN10,20.3,15.2,53.8
LN11,20.3,13.4,51.7
LN12,16.4,7.9,27.9
LN13,18.2,13.9,46.0
LN2,12.2,19.3,57.3
LN3,11.8,16.4,54.9
LN4,13.8,17.1,53.4
LN5,56.5,29.8,56.5
LN6,15.1,17.8,63.1
LN7,17.7,16.4,53.3
LN8,20.4,15.3,51.6
LN9,20.0,16.0,52.5
LS1,71.0,55.3,40.9
LS10,11.3,21.0,58.0
LS11,55.5,23.0,65.2
LS12,17.1,16.9,62.3
LS13,10.5,30.0,55.0
LS14,9.7,27.3,58.3
LS15,14.0,14.9,61.2
LS16,12.8,20.4,56.4
LS17,22.7,18.7,63.2
LS18,18.5,19.2,63.6
LS19,12.7,20.7,66.8
LS2,38.3,51.0,35.3
LS20,11.1,19.0,62.8
LS21,17.3,15.9,57.3
LS22,7.6,16.2,52.1
LS23,11.5,18.2,55.8
LS24,13.6,19.1,62.8
LS25,12.9,18.0,60.7
LS26,10.8,19.7,62.3
LS27,14.9,16.4,64.0
LS28,17.6,17.8,66.8
LS29,11.6,14.0,48.4
LS4,56.4,37.0,51.7
LS5,29.6,21.6,61.7
LS6,66.9,65.1,26.4
LS7,26.7,24.4,58.3
LS8,18.6,23.8,56.7
LS9,33.5,29.0,54.3
LU1,51.2,26.5,61.7
LU2,16.2,25.5,60.4
LU3,27.6,24.4,58.1
LU4,28.9,31.5,51.4
LU5,23.3,17.2,66.2
LU6,9.5,14.8,56.0
LU7,9.4,19.2,63.0
M1,69.0,34.3,58.4
M11,32.1,28.2,56.2
M12,23.4,30.0,51.0
M13,54.4,47.8,35.6
M14,53.1,52.4,34.7
M15,50.1,17.8,72.4
M16,31.3,27.1,57.4
M17,11.4,22.6,64.9
M18,36.7,26.0,56.9
M19,63.8,68.1,22.8
M2,63.0,20.5,69.7
M20,29.5,17.5,67.4
M21,20.7,18.8,69.1
M22,18.4,16.2,60.7
M23,14.9,23.4,59.0
M24,19.2,17.6,56.9
M25,13.1,18.7,60.7
M26,24.4,20.8,54.5
M27,17.0,19.7,60.7
M28,10.3,18.3,61.2
M29,10.0,17.3,64.6
M3,72.0,22.5,71.6
M30,16.5,21.1,60.9
M31,11.3,23.8,55.7
M32,26.3,22.9,66.8
M33,31.9,19.6,65.8
M34,10.0,17.4,54.8
M35,12.0,19.3,59.4
M38,20.1,21.0,54.4
M4,51.7,14.3,76.1
M40,32.6,20.0,66.5
M41,11.2,19.5,59.2
M43,17.5,18.2,60.1
M44,13.3,19.7,58.5
M45,13.5,17.3,58.9
M46,23.1,17.2,62.8
M5,46.8,34.9,54.6
M50,78.8,12.8,79.1
M6,28.9,20.7,61.0
M7,46.8,34.9,54.6
M8,34.8,29.0,49.6
M9,17.7,24.2,55.7
ME1,32.0,16.5,63.6
ME10,17.3,20.4,62.8
ME11,20.4,18.0,56.0
ME12,18.1,19.5,62.4
ME13,12.1,18.7,58.0
ME14,19.3,18.7,63.1
ME15,24.7,19.9,68.0
ME16,38.2,17.4,69.4
ME17,9.4,19.3,59.0
ME18,12.0,15.4,55.1
ME19,11.9,17.3,61.7
ME2,8.5,16.9,60.7
ME20,10.1,17.5,67.2
ME3,7.7,17.5,55.1
ME4,37.9,22.0,59.5
ME5,38.6,22.4,60.2
ME6,14.5,18.4,65.4
ME7,44.0,23.0,66.0
ME8,11.4,19.3,57.7
ME9,14.9,21.9,67.8
MK10,23.7,28.8,72.1
MK11,20.3,18.4,61.7
MK12,28.7,21.2,68.6
MK13,18.3,17.5,61.4
MK14,11.8,18.7,63.4
MK15,15.8,14.2,58.7
MK16,11.8,18.7,63.4
MK17,8.6,17.4,61.0
MK18,12.6,19.2,63.9
MK19,11.8,18.7,63.4
MK2,22.8,20.4,60.5
MK3,13.8,20.5,60.6
MK4,19.7,25.6,71.7
MK40,30.6,27.2,59.2
MK41,13.3,21.9,59.9
MK42,11.0,19.3,67.2
MK43,13.1,17.5,57.8
MK44,11.5,19.2,62.5
MK45,11.6,20.4,65.2
MK46,19.8,18.4,59.5
MK5,13.9,22.9,66.6
MK6,31.2,25.9,58.9
MK7,29.3,23.4,70.2
MK8,13.9,22.9,66.6
MK9,47.6,21.2,69.1
N1,24.2,25.8,56.6
N10,35.1,22.9,67.8
N11,30.2,22.1,62.1
N12,29.3,21.6,62.6
N13,22.4,20.4,59.9
N14,14.2,22.6,60.9
N15,36.1,20.7,62.3
N16,33.1,17.4,74.6
N17,25.2,24.1,56.8
N18,40.8,28.8,56.3
N19,31.7,18.4,66.2
N1C,21.9,35.3,46.9
N2,29.4,19.9,64.3
N20,22.1,21.5,61.8
N21,22.4,20.4,59.9
N22,34.1,21.5,59.1
N3,49.5,18.1,69.2
N4,40.0,17.3,71.7
N5,26.5,17.8,68.1
N6,44.6,15.0,73.8
N7,37.3,19.7,70.1
N8,41.0,15.6,75.6
N9,42.1,28.7,54.2
NE1,56.4,64.6,26.1
NE10,11.7,16.8,52.9
NE11,14.1,16.1,57.7
NE12,12.2,16.7,57.3
NE13,10.3,15.0,54.6
NE15,12.6,17.4,55.2
NE16,18.4,17.4,54.2
NE17,20.7,16.2,53.3
NE18,11.5,17.2,53.6
NE19,20.8,13.0,50.9
NE2,54.0,51.9,35.7
NE20,11.1,16.5,51.2
NE21,15.1,19.5,57.9
NE22,22.0,17.8,54.1
NE23,9.7,18.2,60.9
NE24,12.2,18.9,51.5
NE25,9.8,16.6,55.4
NE26,5.6,18.5,48.6
NE27,14.2,20.6,64.6
NE28,20.7,16.6,57.0
NE29,22.7,22.5,56.2
NE3,20.0,20.9,57.7
NE30,19.1,15.2,59.5
NE31,7.4,19.4,57.1
NE32,14.7,18.8,58.7
NE33,18.7,16.4,53.8
NE34,9.9,17.3,53.8
NE35,13.1,16.6,55.4
NE36,5.4,16.8,54.7
NE37,16.7,20.4,52.7
NE38,11.8,17.0,56.6
NE39,6.5,16.4,52.2
NE4,43.3,32.8,44.9
NE40,13.7,14.9,59.3
NE41,14.6,17.1,55.4
NE42,12.5,18.8,57.4
NE43,14.6,17.1,55.4
NE45,14.2,15.4,50.3
NE46,15.4,15.7,51.6
NE47,19.8,15.0,56.1
NE48,24.7,13.8,57.1
NE49,18.7,13.9,52.9
NE5,12.5,19.2,55.3
NE6,44.0,25.0,58.5
NE61,18.0,16.4,60.4
NE62,14.3,15.2,53.7
NE63,15.6,15.6,56.1
NE64,18.8,15.5,48.0
NE65,12.3,13.4,51.7
NE66,17.4,14.7,52.5
NE67,26.8,11.2,50.0
NE68,26.8,11.2,50.0
NE69,26.8,11.2,50.0
NE7,17.9,18.7,59.9
NE70,26.8,11.2,50.0
NE71,26.8,11.2,50.0
NE8,36.7,25.2,56.1
NE9,13.2,23.2,53.9
NG1,56.5,74.8,15.8
NG10,13.7,17.9,58.3
NG11,18.6,21.9,59.3
NG12,10.0,21.9,59.8
NG13,11.9,14.8,51.5
NG14,13.7,16.4,57.0
NG15,13.4,18.5,63.4
NG16,14.1,13.7,56.1
NG17,29.2,19.9,62.1
NG18,27.0,18.4,58.4
NG19,8.9,16.5,54.8
NG2,17.9,21.6,63.3
NG20,20.3,17.3,56.7
NG21,15.3,17.6,58.7
NG22,10.5,17.2,56.7
NG23,12.3,16.8,57.2
NG24,10.0,14.6,52.3
NG25,14.1,18.8,59.7
NG3,21.1,18.9,61.7
NG31,35.9,18.1,65.4
NG32,12.3,16.8,57.2
NG33,20.2,16.1,60.0
NG34,22.2,18.7,58.5
NG4,21.1,18.9,61.7
NG5,21.5,24.5,60.9
NG6,13.4,18.5,63.4
NG7,54.3,26.5,54.4
NG8,13.3,23.2,52.7
NG9,37.8,29.5,49.9
NN1,41.7,22.8,65.3
NN10,14.5,19.2,63.0
NN11,12.9,16.1,62.6
NN12,14.0,20.5,66.4
NN13,15.3,15.4,61.0
NN14,12.7,20.8,63.9
NN15,9.5,20.0,63.6
NN16,50.6,19.1,70.2
NN17,19.4,20.4,70.8
NN18,15.9,17.9,61.2
NN2,34.7,18.7,62.5
NN29,15.2,17.3,60.1
NN3,23.0,25.3,66.3
NN4,35.8,29.8,58.7
NN5,10.3,17.9,58.4
NN6,12.1,15.9,59.1
NN7,13.5,18.6,62.4
NN9,13.9,16.8,62.7
NP10,8.6,20.4,61.5
NP11,14.9,18.8,52.7
NP12,11.7,18.2,52.5
NP13,21.7,16.4,53.7
NP15,13.3,12.9,52.3
NP16,21.0,16.2,60.7
NP18,12.5,22.1,58.5
NP19,11.0,16.8,53.9
NP20,36.5,16.2,55.3
NP22,16.2,17.5,54.2
NP23,8.8,17.0,51.5
NP24,18.5,17.9,52.9
NP25,15.3,18.3,53.5
NP26,11.0,17.6,63.5
NP4,8.0,14.8,51.4
NP44,12.7,22.8,54.7
NP7,10.3,15.5,53.0
NP8,13.8,14.8,52.0
NR1,48.7,14.8,63.4
NR10,18.0,15.9,57.2
NR11,14.2,11.7,46.2
NR12,14.4,13.2,43.2
NR13,8.6,16.3,57.6
NR14,11.8,16.4,58.6
NR15,11.0,17.1,58.8
NR16,17.1,15.5,56.6
NR17,19.2,15.6,60.1
NR18,11.7,23.6,52.7
NR19,14.8,17.2,54.3
NR2,39.2,32.2,44.5
NR20,11.0,14.4,56.1
NR21,18.2,12.1,46.3
NR24,16.9,13.6,52.2
NR25,18.2,12.1,46.3
NR26,19.5,13.0,41.5
NR27,26.1,11.8,43.5
NR28,14.1,14.2,49.6
NR29,11.9,12.9,48.3
NR3,18.3,22.2,60.5
NR30,15.4,13.7,46.6
NR31,11.0,16.2,55.1
NR32,13.5,12.8,49.2
NR33,15.5,14.7,48.8
NR34,20.8,15.8,49.2
NR35,12.9,15.3,54.8
NR4,14.5,19.2,59.9
NR5,25.6,34.0,48.6
NR6,11.5,15.4,59.0
NR7,8.7,15.1,55.8
NR8,17.2,16.6,58.3
NR9,11.7,23.6,52.7
NW1,32.3,19.8,61.0
NW10,24.5,27.2,57.4
NW11,51.4,21.3,62.7
NW2,40.7,25.0,59.6
NW3,39.7,21.5,63.4
NW4,46.7,23.0,61.2
NW5,30.6,18.6,67.8
NW6,42.9,19.3,64.1
NW7,18.8,23.6,61.5
NW8,50.3,20.6,55.8
NW9,51.9,23.8,65.2
OL1,22.4,26.1,59.2
OL10,23.3,19.6,57.1
OL11,12.5,25.1,58.2
OL12,12.8,17.5,55.0
OL13,19.0,21.3,60.0
OL14,21.9,19.6,57.4
OL15,15.0,16.9,58.2
OL16,20.0,29.2,51.4
OL2,15.1,17.6,54.4
OL3,15.0,15.8,59.9
OL4,12.5,21.7,64.6
OL5,20.6,18.1,63.7
OL6,12.1,17.8,55.0
OL7,27.6,25.4,51.4
OL8,23.2,32.3,49.0
OL9,16.6,19.5,59.7
OX1,19.8,21.4,62.0
OX10,28.0,17.5,65.3
OX11,18.4,18.7,72.9
OX12,14.8,16.4,63.3
OX13,17.7,23.9,58.9
OX14,25.4,17.2,65.4
OX15,12.6,18.2,59.0
OX16,24.5,18.4,71.4
OX17,11.1,20.4,63.6
OX18,17.7,13.2,66.4
OX2,19.8,21.4,62.0
OX20,18.7,18.2,62.9
OX25,21.7,18.5,70.5
OX26,12.3,17.2,63.6
OX27,12.6,19.2,63.9
OX28,17.2,19.0,64.6
OX29,12.4,16.4,61.4
OX3,22.8,23.7,64.1
OX33,12.8,18.6,65.5
OX39,8.9,17.4,64.6
OX4,15.4,22.3,62.2
OX44,11.6,16.1,60.6
OX49,18.4,17.3,62.6
OX5,18.2,14.4,58.1
OX7,15.9,16.3,60.5
OX9,19.2,16.4,65.6
PE1,17.4,25.5,56.5
PE10,15.4,18.6,62.1
PE11,27.7,17.1,66.7
PE12,20.2,15.2,56.6
PE13,29.5,18.5,58.7
PE14,14.3,15.3,55.3
PE15,13.6,16.1,57.4
PE16,19.7,16.4,61.0
PE19,16.6,16.8,66.8
PE2,20.6,20.5,68.4
PE20,11.0,16.1,55.3
PE21,15.2,17.7,59.2
PE22,15.3,14.5,51.0
PE23,20.3,13.4,51.7
PE24,21.8,10.2,36.0
PE25,16.4,17.7,44.3
PE26,18.1,16.6,61.5
PE27,24.0,16.3,59.0
PE28,11.4,15.9,60.7
PE29,17.2,18.9,66.4
PE3,14.0,19.1,52.8
PE30,21.8,18.3,60.1
PE31,14.6,11.0,42.0
PE32,16.0,14.3,53.9
PE33,19.8,14.7,58.5
PE34,10.5,15.4,54.4
PE37,16.3,13.5,47.7
PE38,21.7,15.1,51.3
PE4,15.4,15.9,56.7
PE5,16.5,16.1,58.7
PE6,13.5,16.1,60.4
PE7,14.1,18.5,63.1
PE8,17.6,23.7,54.8
PE9,22.2,17.5,59.3
PL1,27.5,21.1,57.4
PL10,17.7,15.3,51.7
PL11,20.9,16.9,55.3
PL12,16.6,14.7,52.1
PL13,14.5,13.8,48.4
PL14,13.1,13.4,53.1
PL15,25.8,18.8,57.3
PL16,20.5,14.2,56.1
PL17,12.6,13.7,51.7
PL18,12.6,13.7,51.7
PL19,17.4,16.7,50.3
PL2,37.8,17.0,62.1
PL20,11.4,14.0,49.7
PL21,15.6,17.1,54.7
PL22,14.5,13.8,48.4
PL23,14.5,13.8,48.4
PL24,19.7,18.5,56.9
PL25,15.1,16.9,54.8
PL26,18.6,13.5,49.9
PL27,19.3,16.9,56.6
PL28,19.3,16.9,56.6
PL29,20.8,16.3,53.5
PL3,25.9,21.4,66.8
PL30,18.0,14.4,53.1
PL31,24.2,18.0,57.9
PL32,18.3,16.6,54.1
PL33,18.0,14.4,53.1
PL34,18.0,14.4,53.1
PL35,18.0,14.4,53.1
PL4,45.4,28.7,57.9
PL5,16.3,20.7,54.8
PL6,14.2,22.9,53.5
PL7,11.8,16.4,52.2
PL8,10.8,14.9,51.1
PL9,10.8,14.9,51.1
PO1,46.1,19.9,52.2
PO10,14.3,16.2,57.4
PO11,9.6,12.6,47.3
PO12,27.7,15.9,57.9
PO13,28.6,24.3,67.5
PO14,13.2,15.2,50.7
PO15,8.7,15.3,55.9
PO16,17.0,15.2,60.1
PO17,12.3,18.0,57.6
PO18,16.0,16.2,50.8
PO19,30.8,19.1,52.5
PO2,31.0,18.7,63.9
PO20,15.1,12.7,47.0
PO21,48.1,15.2,54.1
PO22,24.1,19.3,58.9
PO3,35.7,21.7,68.9
PO30,16.0,17.0,52.3
PO31,30.8,15.9,60.2
PO32,18.3,16.5,49.8
PO33,45.2,12.3,53.1
PO34,14.0,11.8,41.7
PO35,14.0,11.8,41.7
PO36,23.8,14.6,49.8
PO37,26.3,13.1,46.7
PO38,20.6,13.7,45.5
PO39,16.5,10.5,41.0
PO4,33.9,15.5,62.0
PO40,16.5,10.5,41.0
PO5,50.8,37.9,48.3
PO6,20.8,17.9,62.3
PO7,11.5,17.7,57.3
PO8,7.8,17.5,60.8
PO9,14.5,15.9,58.0
PR1,9.9,15.8,54.5
PR2,14.8,22.5,51.8
PR25,19.3,18.0,67.0
PR26,10.5,17.5,64.9
PR3,7.0,20.8,64.2
PR4,14.4,15.4,55.4
PR5,11.8,17.7,65.2
PR6,20.6,20.0,59.4
PR7,16.6,20.9,64.5
PR8,56.6,11.0,52.1
PR9,12.1,14.7,51.8
RG1,59.2,24.8,65.7
RG10,15.3,17.7,60.1
RG12,13.3,19.2,66.2
RG14,30.0,14.0,71.9
RG17,23.3,15.5,60.4
RG18,18.5,25.7,63.1
RG19,30.0,14.0,71.9
RG2,28.1,22.6,66.6
RG20,20.0,17.0,60.1
RG21,35.9,13.7,69.8
RG22,14.4,18.9,66.9
RG23,11.8,17.3,63.5
RG24,14.6,18.7,70.9
RG25,14.9,15.9,58.4
RG26,10.5,18.5,67.2
RG27,12.9,20.1,66.9
RG28,14.2,17.6,62.8
RG29,22.5,17.9,64.4
RG30,14.2,21.7,61.8
RG31,6.9,17.7,63.1
RG4,12.5,19.4,61.4
RG40,10.8,21.2,60.4
RG41,17.0,19.6,63.0
RG42,13.5,18.3,70.9
RG45,17.2,26.6,55.8
RG5,10.4,19.6,64.1
RG6,16.6,22.8,63.4
RG7,11.1,19.3,71.2
RG8,11.8,20.1,67.1
RG9,19.1,15.9,65.9
RH1,23.2,20.9,65.2
RH10,22.1,19.2,65.7
RH11,19.3,20.5,65.2
RH12,11.3,17.6,62.9
RH13,19.2,16.9,63.8
RH14,14.0,18.7,65.3
RH15,19.3,16.4,62.7
RH16,30.9,16.5,66.8
RH17,19.4,18.7,64.2
RH18,18.0,18.4,58.7
RH19,13.5,18.4,64.7
RH2,20.9,22.1,61.7
RH20,12.0,18.4,59.9
RH3,11.3,13.5,55.0
RH4,19.6,17.2,61.5
RH5,16.3,17.6,61.1
RH6,8.6,19.8,68.2
RH7,11.7,18.3,58.7
RH8,14.1,18.2,59.2
RH9,11.2,18.1,62.6
RM1,11.7,20.8,59.4
RM10,16.4,29.2,58.8
RM11,11.7,18.3,62.5
RM12,20.5,16.2,60.4
RM13,14.0,23.7,61.6
RM14,10.8,18.8,58.9
RM15,12.4,22.3,65.9
RM16,13.4,16.6,61.5
RM17,36.6,24.3,71.0
RM18,21.3,28.3,61.6
RM19,33.1,25.2,71.9
RM2,7.8,17.4,57.8
RM20,28.4,24.6,73.0
RM3,13.2,23.1,59.7
RM4,11.7,20.8,59.4
RM5,14.1,21.7,60.1
RM6,21.6,28.7,59.5
RM7,26.2,23.2,64.4
RM8,21.8,29.0,60.0
RM9,21.8,29.0,60.0
S1,70.9,56.7,38.1
S10,7.8,21.0,54.6
S11,14.1,23.0,64.8
S12,10.5,17.4,60.6
S13,18.4,19.9,58.6
S14,13.8,20.3,53.4
S17,8.1,18.8,55.1
S18,10.2,17.2,55.7
S2,20.7,23.1,56.8
S20,9.5,14.9,51.9
S21,9.0,13.9,52.7
S25,17.7,18.8,54.3
S26,10.7,18.7,56.4
S3,70.9,56.7,38.1
S32,12.4,15.6,55.3
S35,9.8,13.3,54.4
S36,10.8,16.0,57.1
S4,19.8,19.2,57.0
S40,40.8,17.5,63.8
S41,15.0,15.2,56.1
S42,6.7,13.4,49.5
S43,13.3,21.2,56.3
S44,20.2,17.8,56.9
S45,14.3,16.9,55.0
S5,11.7,24.8,54.0
S6,7.0,17.2,55.4
S60,16.5,21.8,51.7
S61,11.7,16.3,57.0
S62,17.8,18.5,53.3
S63,26.2,18.4,57.1
S64,12.6,15.8,55.1
S65,22.3,23.9,51.4
S66,12.6,18.6,60.3
S7,29.7,20.7,60.9
S70,27.8,17.2,56.3
S71,9.2,21.7,52.8
S72,16.7,17.2,53.7
S73,16.7,17.2,53.7
S74,18.0,17.4,61.1
S75,12.0,15.7,56.9
S8,12.0,20.8,55.2
S80,17.6,18.4,63.9
S81,17.6,18.4,63.9
S9,18.4,19.9,58.6
SA1,10.6,27.4,47.2
SA10,14.7,32.5,48.4
SA11,19.2,18.4,51.7
SA12,21.7,19.0,49.7
SA13,12.3,18.5,50.5
SA14,13.5,18.1,55.4
SA15,17.6,20.1,55.1
SA16,14.1,16.4,48.2
SA17,13.2,18.9,49.0
SA18,13.9,17.9,51.4
SA19,15.4,15.8,53.4
SA2,12.9,18.7,53.8
SA20,15.4,15.8,53.4
SA3,15.9,17.2,47.8
SA31,17.5,20.5,55.4
SA32,10.4,16.0,53.4
SA33,14.6,16.0,55.5
SA34,14.6,16.0,55.5
SA36,15.0,16.4,55.3
SA37,15.0,16.4,55.3
SA38,15.0,14.6,52.4
SA39,14.7,15.7,54.4
SA4,12.1,19.7,62.7
SA40,18.9,19.5,51.1
SA41,15.0,16.4,55.3
SA42,16.8,15.8,50.0
SA43,18.0,16.3,47.7
SA44,13.9,13.2,50.6
SA45,13.9,13.2,50.6
SA46,17.9,13.7,53.0
SA47,13.9,13.2,50.6
SA48,18.9,19.5,51.1
SA5,22.4,18.3,57.4
SA6,22.9,17.6,54.6
SA61,26.3,20.3,57.0
SA62,14.0,16.0,53.3
SA63,14.5,16.8,56.4
SA64,16.8,15.8,50.0
SA65,16.8,15.8,50.0
SA66,14.6,16.0,55.5
SA67,15.9,13.9,48.1
SA69,19.5,14.3,49.2
SA7,14.1,21.1,64.5
SA70,19.5,14.3,49.2
SA71,17.4,19.2,51.5
SA72,20.5,18.9,53.6
SA73,11.1,16.3,53.3
SA8,10.9,18.4,55.3
SA9,12.6,17.7,53.1
SE1,47.6,30.4,62.6
SE10,25.0,17.3,73.6
SE11,34.1,16.8,71.9
SE12,20.6,20.2,65.4
SE13,49.0,21.3,74.9
SE14,35.3,25.7,66.0
SE15,20.2,19.1,66.6
SE16,40.7,15.5,76.2
SE17,28.6,24.0,64.5
SE18,22.7,22.7,62.6
SE19,34.7,16.5,75.8
SE2,20.3,23.9,62.0
SE20,22.7,18.3,70.2
SE21,18.9,24.6,66.0
SE22,25.3,18.4,74.1
SE23,27.3,18.5,72.7
SE24,31.0,20.2,72.3
SE25,35.2,19.4,67.1
SE26,33.2,14.6,70.0
SE27,16.3,24.2,64.2
SE28,37.0,27.3,60.6
SE3,22.7,22.7,62.6
SE4,25.9,19.4,69.0
SE5,16.8,23.8,65.4
SE6,30.9,20.4,66.0
SE7,17.4,24.6,60.0
SE8,38.1,25.7,67.9
SE9,21.4,17.9,61.7
SG1,12.1,20.1,65.0
SG10,13.5,18.7,61.3
SG11,11.1,20.6,65.6
SG12,16.1,23.0,60.0
SG13,26.5,16.3,68.0
SG14,15.0,18.4,62.8
SG15,11.0,17.3,66.9
SG16,11.0,17.3,66.9
SG17,11.0,18.2,64.5
SG18,11.0,18.2,69.1
SG19,13.5,16.7,63.5
SG2,10.9,16.6,60.2
SG3,13.7,17.6,60.7
SG4,15.7,21.9,72.6
SG5,15.3,18.5,60.0
SG6,15.1,19.0,61.8
SG7,17.2,17.8,65.1
SG8,9.2,16.0,59.8
SG9,9.7,19.2,62.0
SK1,17.7,18.8,67.4
SK10,9.8,16.1,49.9
SK11,16.3,18.4,62.3
SK12,11.0,15.2,59.4
SK13,23.3,15.7,62.3
SK14,15.9,15.3,58.0
SK15,18.9,21.9,56.5
SK16,20.5,18.0,61.2
SK17,17.1,13.7,56.6
SK2,8.7,16.7,60.4
SK22,11.5,16.5,58.8
SK23,12.9,16.8,59.6
SK3,32.4,16.2,66.9
SK4,22.5,17.2,63.7
SK5,17.3,17.9,62.0
SK6,7.3,16.8,55.9
SK7,7.0,17.5,57.8
SK8,8.8,20.2,59.7
SK9,17.3,16.0,55.5
SL0,14.5,17.8,65.4
SL1,29.7,28.5,57.7
SL2,39.4,25.1,61.1
