outcode,pct_private_rented,pct_students,pct_employed
BN5,12.4,17.5,55.7
BN6,10.0,19.3,57.9
BN7,20.2,18.3,59.2
BN8,11.8,19.0,59.6
BN9,22.9,16.8,56.7
BR1,10.9,19.6,59.5
BR2,5.0,22.5,62.9
BR3,33.2,14.6,70.0
BR4,11.3,20.9,59.9
BR5,14.2,19.6,63.4
BR6,9.1,18.8,59.4
BR7,8.8,19.3,55.7
BR8,11.4,16.4,63.1
BS1,50.5,49.6,40.5
BS10,17.7,23.2,60.0
BS11,10.1,24.8,59.5
BS13,17.5,18.7,63.5
BS14,9.4,15.9,58.0
BS15,25.2,17.1,67.1
BS16,11.3,17.2,63.9
BS2,42.0,26.9,64.6
BS20,13.2,21.5,61.7
BS21,10.7,20.5,60.9
BS22,12.8,16.0,54.6
BS23,14.3,17.7,52.3
BS24,14.3,17.7,52.3
BS25,13.8,17.2,56.1
BS26,13.8,17.2,56.1
BS27,13.9,18.5,54.5
BS28,10.7,17.3,55.2
BS29,11.3,16.8,55.6
BS3,32.2,14.9,76.7
BS30,15.5,16.9,60.8
BS31,14.3,17.8,60.2
BS32,32.4,20.7,75.4
BS34,26.3,25.4,56.2
BS35,10.9,17.6,58.4
BS36,7.2,19.7,59.3
BS37,12.3,18.0,60.6
BS39,12.0,18.2,61.7
BS4,17.5,17.5,65.9
BS40,12.9,17.8,59.7
BS41,10.7,20.5,60.9
BS48,10.8,21.5,58.9
BS49,10.6,18.1,59.7
BS5,31.6,22.2,64.2
BS6,39.5,29.2,64.1
BS7,29.6,29.2,57.3
BS8,57.7,34.5,56.2
BS9,8.4,20.2,59.8
CA1,34.3,17.7,64.8
CA10,19.1,14.7,58.4
CA11,22.0,15.9,62.0
CA12,12.7,13.5,54.1
CA13,11.6,14.7,53.9
CA14,14.0,15.6,58.3
CA15,12.4,15.4,56.0
CA16,19.1,14.7,58.4
CA17,19.2,14.2,57.5
CA18,14.1,14.3,53.6
CA19,10.7,14.1,54.3
CA2,11.4,17.1,60.0
CA20,10.7,14.1,54.3
CA21,10.7,14.1,54.3
CA22,10.7,17.0,55.6
CA23,12.2,15.4,57.0
CA24,10.7,17.0,55.6
CA25,12.2,15.4,57.0
CA26,12.2,15.4,57.0
CA27,10.7,14.1,54.3
CA28,16.7,13.6,54.3
CA3,36.9,18.1,58.1
CA4,11.4,17.1,60.0
CA5,13.6,14.4,58.1
CA7,13.1,14.9,54.2
CA8,16.4,15.2,54.7
CA9,15.6,14.3,59.1
CB1,20.2,21.1,65.0
CB10,18.0,18.8,62.1
CB11,15.9,18.5,62.0
CB2,10.9,20.3,64.0
CB21,22.5,18.1,64.8
CB22,15.1,18.0,59.3
CB23,18.7,30.5,74.8
CB24,16.4,20.1,64.5
CB25,11.2,18.0,61.4
CB3,41.2,60.9,29.9
CB4,26.4,19.5,63.3
CB5,24.3,15.3,66.6
CB6,22.8,18.7,64.1
CB7,15.1,17.7,63.6
CB8,20.0,15.9,60.8
CB9,14.1,18.3,63.6
CF10,41.5,28.9,55.1
CF11,56.9,13.3,75.9
CF14,7.8,17.2,53.9
CF15,10.9,22.2,61.5
CF23,15.2,30.2,49.0
CF24,57.0,37.1,46.7
CF3,12.5,20.6,66.3
CF31,20.5,17.6,54.9
CF32,14.1,19.5,54.5
CF33,13.8,20.3,55.9
CF34,12.7,18.2,51.0
CF35,12.0,18.4,56.8
CF36,17.5,14.6,48.0
CF37,28.3,38.5,42.0
CF38,13.3,18.7,60.2
CF39,21.9,17.6,54.1
CF40,21.3,19.1,53.2
CF41,21.3,19.1,53.2
CF42,20.0,18.0,50.8
CF43,20.4,17.9,47.1
CF44,18.3,18.0,52.2
CF45,19.1,19.4,55.6
CF46,16.7,17.1,53.7
CF47,16.2,18.9,59.5
CF48,20.2,19.1,51.9
CF5,12.0,30.6,48.3
CF61,13.6,19.0,52.0
CF62,17.4,17.7,60.9
CF63,27.7,20.6,60.1
CF64,24.1,18.2,58.2
CF71,11.9,18.2,50.4
CF72,13.0,20.8,63.5
CF81,19.4,18.5,51.3
CF82,13.7,18.4,56.6
CF83,11.3,18.6,55.1
CH1,45.9,38.4,43.9
CH2,16.8,18.4,60.1
CH3,39.2,17.3,59.2
CH4,14.6,18.5,64.1
CH41,27.4,17.3,47.2
CH42,9.9,18.4,55.9
CH43,21.1,18.0,57.4
CH44,33.8,24.3,51.3
CH45,29.9,17.7,56.2
CH46,14.6,23.5,51.9
CH47,18.2,16.7,53.5
CH48,7.2,17.7,52.3
CH49,8.1,15.4,50.9
CH5,17.6,19.0,59.6
CH6,15.1,19.3,59.7
CH60,13.7,16.4,51.0
CH61,9.1,16.4,52.4
CH62,16.1,17.5,60.8
CH63,10.3,18.9,58.3
CH64,14.1,17.5,50.4
CH65,9.8,14.2,50.6
CH66,7.5,16.0,61.8
CH7,11.2,16.1,55.7
CH8,10.4,15.1,56.4
CM0,13.8,15.1,56.5
CM1,41.8,18.8,63.0
CM11,10.0,17.2,59.9
CM12,8.9,19.7,60.2
CM13,13.3,19.3,56.6
CM14,31.5,15.1,69.3
CM15,12.5,20.2,63.3
CM16,19.5,15.8,62.3
CM17,12.3,18.9,70.0
CM18,11.5,20.2,61.2
CM19,19.1,21.9,65.7
CM2,20.1,18.8,69.7
CM20,14.2,22.0,61.6
CM21,14.0,18.3,59.6
CM22,13.1,18.6,65.1
CM23,11.1,20.6,65.6
CM24,13.1,18.6,65.1
CM3,15.4,17.1,63.3
CM4,10.4,14.7,51.4
CM5,11.2,19.1,58.3
CM6,14.0,19.0,62.4
CM7,33.0,15.2,65.2
CM77,13.2,21.2,63.9
